system   D            wsystem.c:583  maybe_parent_dir                 [   0.00172] Also searching C:\Users\Andrey\Documents\Visual Studio 2012\Projects\Tetris\
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36584] removed dtor for object 0459ADE8
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36590] removed dtor for object 04598E70
dtor     D               dtor.c:114  _al_run_destructors              [   9.36593] calling dtor for object 0459A2C0, func 607A200E
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36594] removed dtor for object 0459A2C0
dtor     D               dtor.c:114  _al_run_destructors              [   9.36632] calling dtor for object 04599C60, func 607A200E
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36634] removed dtor for object 04599C60
dtor     D               dtor.c:114  _al_run_destructors              [   9.36661] calling dtor for object 04599580, func 607A200E
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36663] removed dtor for object 04599580
dtor     D               dtor.c:114  _al_run_destructors              [   9.36686] calling dtor for object 04598F20, func 607A200E
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36691] removed dtor for object 04598F20
dtor     D               dtor.c:114  _al_run_destructors              [   9.36708] calling dtor for object 04598810, func 607A200E
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36710] removed dtor for object 04598810
dtor     D               dtor.c:114  _al_run_destructors              [   9.36721] calling dtor for object 04598168, func 607A200E
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36723] removed dtor for object 04598168
dtor     D               dtor.c:114  _al_run_destructors              [   9.36739] calling dtor for object 045979F8, func 607A200E
dtor     D               dtor.c:214  _al_unregister_destructor        [   9.36741] removed dtor for object 045979F8
d3d      I         d3d_disp.cpp:1110 d3d_destroy_display              [   9.36993] destroying display 00C238B0 (current 00000000)
d3d      D         d3d_disp.cpp:1096 d3d_destroy_display_internals    [   9.36999] waiting for display 00C238B0's thread to end
d3d      W         d3d_disp.cpp:812  d3d_destroy_device               [   9.38187] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1707 d3d_display_thread_proc          [   9.41310] d3d display thread exits
